YMDHMS,Load_kW
2011-01-01 00:15:00,68432.0
2011-01-01 00:30:00,69107.0
2011-01-01 00:45:00,69291.0
2011-01-01 01:00:00,68274.0
2011-01-01 01:15:00,66094.0
2011-01-01 01:30:00,64765.0
2011-01-01 01:45:00,65950.0
2011-01-01 02:00:00,65269.0
2011-01-01 02:15:00,65492.0
2011-01-01 02:30:00,65684.0
2011-01-01 02:45:00,67166.0
2011-01-01 03:00:00,68022.0
2011-01-01 03:15:00,64931.0
2011-01-01 03:30:00,66484.0
2011-01-01 03:45:00,66559.0
2011-01-01 04:00:00,65236.0
2011-01-01 04:15:00,64255.0
2011-01-01 04:30:00,64675.0
2011-01-01 04:45:00,65380.0
2011-01-01 05:00:00,64667.0
2011-01-01 05:15:00,64078.0
2011-01-01 05:30:00,64902.0
2011-01-01 05:45:00,66782.0
2011-01-01 06:00:00,68345.0
2011-01-01 06:15:00,67331.0
2011-01-01 06:30:00,67128.0
2011-01-01 06:45:00,70845.0
2011-01-01 07:00:00,71473.0
2011-01-01 07:15:00,70139.0
2011-01-01 07:30:00,68330.0
2011-01-01 07:45:00,71763.0
2011-01-01 08:00:00,70797.0
2011-01-01 08:15:00,70873.0
2011-01-01 08:30:00,72714.0
2011-01-01 08:45:00,72866.0
2011-01-01 09:00:00,74596.0
2011-01-01 09:15:00,73327.0
2011-01-01 09:30:00,73575.0
2011-01-01 09:45:00,73999.0
2011-01-01 10:00:00,74002.0
2011-01-01 10:15:00,74574.0
2011-01-01 10:30:00,72780.0
2011-01-01 10:45:00,72861.0
2011-01-01 11:00:00,73923.0
2011-01-01 11:15:00,71114.0
2011-01-01 11:30:00,71893.0
2011-01-01 11:45:00,72671.0
2011-01-01 12:00:00,73530.0
2011-01-01 12:15:00,73505.0
2011-01-01 12:30:00,73054.0
2011-01-01 12:45:00,74947.0
2011-01-01 13:00:00,73857.0
2011-01-01 13:15:00,71973.0
2011-01-01 13:30:00,70468.0
2011-01-01 13:45:00,72053.0
2011-01-01 14:00:00,72429.0
2011-01-01 14:15:00,72526.0
2011-01-01 14:30:00,72486.0
2011-01-01 14:45:00,72370.0
2011-01-01 15:00:00,73175.0
2011-01-01 15:15:00,72611.0
2011-01-01 15:30:00,73763.0
2011-01-01 15:45:00,73872.0
2011-01-01 16:00:00,74037.0
2011-01-01 16:15:00,72164.0
2011-01-01 16:30:00,73582.0
2011-01-01 16:45:00,74284.0
2011-01-01 17:00:00,74082.0
2011-01-01 17:15:00,73172.0
2011-01-01 17:30:00,74486.0
2011-01-01 17:45:00,78444.0
2011-01-01 18:00:00,79805.0
2011-01-01 18:15:00,78374.0
2011-01-01 18:30:00,79177.0
2011-01-01 18:45:00,81850.0
2011-01-01 19:00:00,81044.0
2011-01-01 19:15:00,78200.0
2011-01-01 19:30:00,78397.0
2011-01-01 19:45:00,79437.0
2011-01-01 20:00:00,78143.0
2011-01-01 20:15:00,77561.0
2011-01-01 20:30:00,79124.0
2011-01-01 20:45:00,80083.0
2011-01-01 21:00:00,77688.0
2011-01-01 21:15:00,77088.0
2011-01-01 21:30:00,78582.0
2011-01-01 21:45:00,78194.0
2011-01-01 22:00:00,76365.0
2011-01-01 22:15:00,73696.0
2011-01-01 22:30:00,73304.0
2011-01-01 22:45:00,74186.0
2011-01-01 23:00:00,72089.0
2011-01-01 23:15:00,70210.0
2011-01-01 23:30:00,69510.0
2011-01-01 23:45:00,69173.0
2011-01-02 00:00:00,69179.0
2011-01-02 00:15:00,67819.0
2011-01-02 00:30:00,68798.0
2011-01-02 00:45:00,69521.0
2011-01-02 01:00:00,67272.0
2011-01-02 01:15:00,65476.0
2011-01-02 01:30:00,64407.0
2011-01-02 01:45:00,65379.0
2011-01-02 02:00:00,64764.0
2011-01-02 02:15:00,64738.0
2011-01-02 02:30:00,64719.0
2011-01-02 02:45:00,66221.0
2011-01-02 03:00:00,66061.0
2011-01-02 03:15:00,64463.0
2011-01-02 03:30:00,64871.0
2011-01-02 03:45:00,65254.0
2011-01-02 04:00:00,64103.0
2011-01-02 04:15:00,64307.0
2011-01-02 04:30:00,65904.0
2011-01-02 04:45:00,70133.0
2011-01-02 05:00:00,69348.0
2011-01-02 05:15:00,75534.0
2011-01-02 05:30:00,76154.0
2011-01-02 05:45:00,75142.0
2011-01-02 06:00:00,78931.0
2011-01-02 06:15:00,92038.0
2011-01-02 06:30:00,102850.0
2011-01-02 06:45:00,103432.0
2011-01-02 07:00:00,101828.0
2011-01-02 07:15:00,108366.0
2011-01-02 07:30:00,113427.0
2011-01-02 07:45:00,113337.0
2011-01-02 08:00:00,111997.0
2011-01-02 08:15:00,116169.0
2011-01-02 08:30:00,120116.0
2011-01-02 08:45:00,128865.0
2011-01-02 09:00:00,131385.0
2011-01-02 09:15:00,138906.0
2011-01-02 09:30:00,141771.0
2011-01-02 09:45:00,141886.0
2011-01-02 10:00:00,140328.0
2011-01-02 10:15:00,141502.0
2011-01-02 10:30:00,143235.0
2011-01-02 10:45:00,145376.0
2011-01-02 11:00:00,143852.0
2011-01-02 11:15:00,139827.0
2011-01-02 11:30:00,141738.0
2011-01-02 11:45:00,143162.0
2011-01-02 12:00:00,145813.0
2011-01-02 12:15:00,145856.0
2011-01-02 12:30:00,145687.0
2011-01-02 12:45:00,142604.0
2011-01-02 13:00:00,140434.0
2011-01-02 13:15:00,140184.0
2011-01-02 13:30:00,140877.0
2011-01-02 13:45:00,140214.0
2011-01-02 14:00:00,139799.0
2011-01-02 14:15:00,139836.0
2011-01-02 14:30:00,140221.0
2011-01-02 14:45:00,141856.0
2011-01-02 15:00:00,140761.0
2011-01-02 15:15:00,139977.0
2011-01-02 15:30:00,142238.0
2011-01-02 15:45:00,138892.0
2011-01-02 16:00:00,140434.0
2011-01-02 16:15:00,140942.0
2011-01-02 16:30:00,140413.0
2011-01-02 16:45:00,141636.0
2011-01-02 17:00:00,140141.0
2011-01-02 17:15:00,142606.0
2011-01-02 17:30:00,142025.0
2011-01-02 17:45:00,146268.0
2011-01-02 18:00:00,148912.0
2011-01-02 18:15:00,145048.0
2011-01-02 18:30:00,147486.0
