YMDHMS,Load_kW
2011-01-01 00:15:00,116334.4
2011-01-01 00:30:00,117481.9
2011-01-01 00:45:00,117794.7
2011-01-01 01:00:00,116065.8
2011-01-01 01:15:00,112359.8
2011-01-01 01:30:00,110100.5
2011-01-01 01:45:00,112115.0
2011-01-01 02:00:00,110957.3
2011-01-01 02:15:00,111336.4
2011-01-01 02:30:00,111662.8
2011-01-01 02:45:00,114182.2
2011-01-01 03:00:00,115637.4
2011-01-01 03:15:00,110382.7
2011-01-01 03:30:00,113022.8
2011-01-01 03:45:00,113150.3
2011-01-01 04:00:00,110901.2
2011-01-01 04:15:00,109233.5
2011-01-01 04:30:00,109947.5
2011-01-01 04:45:00,111146.0
2011-01-01 05:00:00,109933.9
2011-01-01 05:15:00,108932.59999999999
2011-01-01 05:30:00,110333.4
2011-01-01 05:45:00,113529.4
2011-01-01 06:00:00,116186.5
2011-01-01 06:15:00,114462.7
2011-01-01 06:30:00,114117.59999999999
2011-01-01 06:45:00,120436.5
2011-01-01 07:00:00,121504.09999999999
2011-01-01 07:15:00,119236.3
2011-01-01 07:30:00,116161.0
2011-01-01 07:45:00,121997.09999999999
2011-01-01 08:00:00,120354.9
2011-01-01 08:15:00,120484.09999999999
2011-01-01 08:30:00,123613.8
2011-01-01 08:45:00,123872.2
2011-01-01 09:00:00,126813.2
2011-01-01 09:15:00,124655.9
2011-01-01 09:30:00,125077.5
2011-01-01 09:45:00,125798.3
2011-01-01 10:00:00,125803.4
2011-01-01 10:15:00,126775.8
2011-01-01 10:30:00,123726.0
2011-01-01 10:45:00,123863.7
2011-01-01 11:00:00,125669.09999999999
2011-01-01 11:15:00,120893.8
2011-01-01 11:30:00,122218.09999999999
2011-01-01 11:45:00,123540.7
2011-01-01 12:00:00,125001.0
2011-01-01 12:15:00,124958.5
2011-01-01 12:30:00,124191.8
2011-01-01 12:45:00,127409.9
2011-01-01 13:00:00,125556.9
2011-01-01 13:15:00,122354.09999999999
2011-01-01 13:30:00,119795.59999999999
2011-01-01 13:45:00,122490.09999999999
2011-01-01 14:00:00,123129.3
2011-01-01 14:15:00,123294.2
2011-01-01 14:30:00,123226.2
2011-01-01 14:45:00,123029.0
2011-01-01 15:00:00,124397.5
2011-01-01 15:15:00,123438.7
2011-01-01 15:30:00,125397.09999999999
2011-01-01 15:45:00,125582.4
2011-01-01 16:00:00,125862.9
2011-01-01 16:15:00,122678.8
2011-01-01 16:30:00,125089.4
2011-01-01 16:45:00,126282.8
2011-01-01 17:00:00,125939.4
2011-01-01 17:15:00,124392.4
2011-01-01 17:30:00,126626.2
2011-01-01 17:45:00,133354.8
2011-01-01 18:00:00,135668.5
2011-01-01 18:15:00,133235.8
2011-01-01 18:30:00,134600.9
2011-01-01 18:45:00,139145.0
2011-01-01 19:00:00,137774.8
2011-01-01 19:15:00,132940.0
2011-01-01 19:30:00,133274.9
2011-01-01 19:45:00,135042.9
2011-01-01 20:00:00,132843.1
2011-01-01 20:15:00,131853.69999999998
2011-01-01 20:30:00,134510.8
2011-01-01 20:45:00,136141.1
2011-01-01 21:00:00,132069.6
2011-01-01 21:15:00,131049.59999999999
2011-01-01 21:30:00,133589.4
2011-01-01 21:45:00,132929.8
2011-01-01 22:00:00,129820.5
2011-01-01 22:15:00,125283.2
2011-01-01 22:30:00,124616.8
2011-01-01 22:45:00,126116.2
2011-01-01 23:00:00,122551.3
2011-01-01 23:15:00,119357.0
