YYYY-MM-DD HH:MM:SS,Load (kW)
2012-01-01 00:00:00,60592.0
2012-01-01 00:15:00,120208.0
2012-01-01 00:30:00,118285.0
2012-01-01 00:45:00,117290.0
2012-01-01 01:00:00,114257.0
2012-01-01 01:15:00,112370.0
2012-01-01 01:30:00,111329.0
2012-01-01 01:45:00,111621.0
2012-01-01 02:00:00,111339.0
2012-01-01 02:15:00,110844.0
2012-01-01 02:30:00,110188.0
2012-01-01 02:45:00,110728.0
2012-01-01 03:00:00,110345.0
2012-01-01 03:15:00,104505.0
2012-01-01 03:30:00,104889.0
2012-01-01 03:45:00,104435.0
2012-01-01 04:00:00,104238.0
2012-01-01 04:15:00,104129.0
2012-01-01 04:30:00,103193.0
2012-01-01 04:45:00,101997.0
2012-01-01 05:00:00,101429.0
2012-01-01 05:15:00,100260.0
2012-01-01 05:30:00,101918.0
2012-01-01 05:45:00,102933.0
2012-01-01 06:00:00,102784.0
2012-01-01 06:15:00,103037.0
2012-01-01 06:30:00,103040.0
2012-01-01 06:45:00,105449.0
2012-01-01 07:00:00,107070.0
2012-01-01 07:15:00,106442.0
2012-01-01 07:30:00,107945.0
2012-01-01 07:45:00,106090.0
2012-01-01 08:00:00,105692.0
2012-01-01 08:15:00,107652.0
2012-01-01 08:30:00,107574.0
2012-01-01 08:45:00,111555.0
2012-01-01 09:00:00,112297.0
2012-01-01 09:15:00,114266.0
2012-01-01 09:30:00,116471.0
2012-01-01 09:45:00,116452.0
2012-01-01 10:00:00,119069.0
2012-01-01 10:15:00,118841.0
2012-01-01 10:30:00,122595.0
2012-01-01 10:45:00,121987.0
2012-01-01 11:00:00,122063.0
2012-01-01 11:15:00,120171.0
2012-01-01 11:30:00,121444.0
2012-01-01 11:45:00,121860.0
2012-01-01 12:00:00,125851.0
2012-01-01 12:15:00,131236.0
2012-01-01 12:30:00,149827.0
2012-01-01 12:45:00,137047.0
2012-01-01 13:00:00,135457.0
2012-01-01 13:15:00,136331.0
2012-01-01 13:30:00,133708.0
2012-01-01 13:45:00,132858.0
2012-01-01 14:00:00,141343.0
2012-01-01 14:15:00,134607.0
2012-01-01 14:30:00,133962.0
2012-01-01 14:45:00,135621.0
2012-01-01 15:00:00,139201.0
2012-01-01 15:15:00,133751.0
2012-01-01 15:30:00,134580.0
2012-01-01 15:45:00,141026.0
2012-01-01 16:00:00,136708.0
2012-01-01 16:15:00,137893.0
2012-01-01 16:30:00,135298.0
2012-01-01 16:45:00,139147.0
2012-01-01 17:00:00,136886.0
2012-01-01 17:15:00,138336.0
2012-01-01 17:30:00,148294.0
2012-01-01 17:45:00,156294.0
2012-01-01 18:00:00,155704.0
2012-01-01 18:15:00,161004.0
2012-01-01 18:30:00,159753.0
2012-01-01 18:45:00,157321.0
2012-01-01 19:00:00,157539.0
2012-01-01 19:15:00,158667.0
2012-01-01 19:30:00,159465.0
2012-01-01 19:45:00,158233.0
2012-01-01 20:00:00,159099.0
2012-01-01 20:15:00,158667.0
2012-01-01 20:30:00,153069.0
2012-01-01 20:45:00,163747.0
2012-01-01 21:00:00,155670.0
2012-01-01 21:15:00,154830.0
2012-01-01 21:30:00,153541.0
2012-01-01 21:45:00,159136.0
2012-01-01 22:00:00,155274.0
2012-01-01 22:15:00,151035.0
2012-01-01 22:30:00,149323.0
2012-01-01 22:45:00,150338.0
2012-01-01 23:00:00,147701.0
2012-01-01 23:15:00,139128.0
2012-01-01 23:30:00,136272.0
2012-01-01 23:45:00,130060.0
2012-01-02 00:00:00,127123.0
2012-01-02 00:15:00,125342.0
2012-01-02 00:30:00,121517.0
2012-01-02 00:45:00,113113.0
2012-01-02 01:00:00,110776.0
2012-01-02 01:15:00,105279.0
2012-01-02 01:30:00,103503.0
2012-01-02 01:45:00,104362.0
2012-01-02 02:00:00,104300.0
2012-01-02 02:15:00,103317.0
2012-01-02 02:30:00,103002.0
2012-01-02 02:45:00,105078.0
2012-01-02 03:00:00,105226.0
2012-01-02 03:15:00,98194.0
2012-01-02 03:30:00,98538.0
2012-01-02 03:45:00,99369.0
2012-01-02 04:00:00,98028.0
2012-01-02 04:15:00,99284.0
2012-01-02 04:30:00,98874.0
2012-01-02 04:45:00,101242.0
2012-01-02 05:00:00,101849.0
2012-01-02 05:15:00,104576.0
2012-01-02 05:30:00,107659.0
2012-01-02 05:45:00,110610.0
2012-01-02 06:00:00,114703.0
2012-01-02 06:15:00,122955.0
2012-01-02 06:30:00,124359.0
2012-01-02 06:45:00,129111.0
2012-01-02 07:00:00,134591.0
2012-01-02 07:15:00,144751.0
2012-01-02 07:30:00,151024.0
2012-01-02 07:45:00,146918.0
2012-01-02 08:00:00,147712.0
2012-01-02 08:15:00,150586.0
2012-01-02 08:30:00,157941.0
2012-01-02 08:45:00,166760.0
2012-01-02 09:00:00,174299.0
2012-01-02 09:15:00,188451.0
2012-01-02 09:30:00,194386.0
2012-01-02 09:45:00,201180.0
2012-01-02 10:00:00,204475.0
2012-01-02 10:15:00,210398.0
2012-01-02 10:30:00,222974.0
2012-01-02 10:45:00,215665.0
2012-01-02 11:00:00,219230.0
2012-01-02 11:15:00,227760.0
2012-01-02 11:30:00,222041.0
2012-01-02 11:45:00,221331.0
2012-01-02 12:00:00,234666.0
2012-01-02 12:15:00,239104.0
2012-01-02 12:30:00,237903.0
2012-01-02 12:45:00,230971.0
2012-01-02 13:00:00,237279.0
2012-01-02 13:15:00,245831.0
2012-01-02 13:30:00,231627.0
2012-01-02 13:45:00,227863.0
2012-01-02 14:00:00,237131.0
2012-01-02 14:15:00,240210.0
2012-01-02 14:30:00,237590.0
2012-01-02 14:45:00,230934.0
2012-01-02 15:00:00,232656.0
2012-01-02 15:15:00,234321.0
2012-01-02 15:30:00,246052.0
2012-01-02 15:45:00,232709.0
2012-01-02 16:00:00,234086.0
2012-01-02 16:15:00,238076.0
2012-01-02 16:30:00,243886.0
2012-01-02 16:45:00,249596.0
2012-01-02 17:00:00,236352.0
2012-01-02 17:15:00,242256.0
2012-01-02 17:30:00,247860.0
2012-01-02 17:45:00,271031.0
2012-01-02 18:00:00,263573.0
2012-01-02 18:15:00,261651.0
2012-01-02 18:30:00,264646.0
2012-01-02 18:45:00,276844.0
2012-01-02 19:00:00,269092.0
2012-01-02 19:15:00,260082.0
2012-01-02 19:30:00,259009.0
2012-01-02 19:45:00,260314.0
2012-01-02 20:00:00,271937.0
2012-01-02 20:15:00,250537.0
2012-01-02 20:30:00,244705.0
2012-01-02 20:45:00,249401.0
2012-01-02 21:00:00,252743.0
2012-01-02 21:15:00,249273.0
2012-01-02 21:30:00,241025.0
2012-01-02 21:45:00,240359.0
2012-01-02 22:00:00,228739.0
2012-01-02 22:15:00,221751.0
2012-01-02 22:30:00,215048.0
2012-01-02 22:45:00,203480.0
2012-01-02 23:00:00,202773.0
2012-01-02 23:15:00,191908.0
2012-01-02 23:30:00,171596.0
2012-01-02 23:45:00,161620.0
2012-01-03 00:00:00,152093.0
2012-01-03 00:15:00,144065.0
2012-01-03 00:30:00,139327.0
2012-01-03 00:45:00,127036.0
2012-01-03 01:00:00,120901.0
2012-01-03 01:15:00,118522.0
2012-01-03 01:30:00,115285.0
2012-01-03 01:45:00,114449.0
2012-01-03 02:00:00,113467.0
2012-01-03 02:15:00,111455.0
2012-01-03 02:30:00,111602.0
2012-01-03 02:45:00,110592.0
2012-01-03 03:00:00,109486.0
2012-01-03 03:15:00,107310.0
2012-01-03 03:30:00,105445.0
2012-01-03 03:45:00,105815.0
2012-01-03 04:00:00,103735.0
2012-01-03 04:15:00,100465.0
2012-01-03 04:30:00,101747.0
2012-01-03 04:45:00,101150.0
2012-01-03 05:00:00,100826.0
2012-01-03 05:15:00,103707.0
2012-01-03 05:30:00,104593.0
2012-01-03 05:45:00,113879.0
2012-01-03 06:00:00,113702.0
2012-01-03 06:15:00,121603.0
2012-01-03 06:30:00,124519.0
2012-01-03 06:45:00,126634.0
2012-01-03 07:00:00,131586.0
2012-01-03 07:15:00,147146.0
2012-01-03 07:30:00,154329.0
2012-01-03 07:45:00,149876.0
2012-01-03 08:00:00,146417.0
2012-01-03 08:15:00,150104.0
2012-01-03 08:30:00,156662.0
2012-01-03 08:45:00,167263.0
2012-01-03 09:00:00,176415.0
2012-01-03 09:15:00,195447.0
2012-01-03 09:30:00,198213.0
2012-01-03 09:45:00,204342.0
2012-01-03 10:00:00,206239.0
2012-01-03 10:15:00,213540.0
2012-01-03 10:30:00,226765.0
2012-01-03 10:45:00,217756.0
2012-01-03 11:00:00,218219.0
2012-01-03 11:15:00,226455.0
2012-01-03 11:30:00,216266.0
2012-01-03 11:45:00,218828.0
2012-01-03 12:00:00,226466.0
2012-01-03 12:15:00,225318.0
2012-01-03 12:30:00,230904.0
2012-01-03 12:45:00,232005.0
2012-01-03 13:00:00,238706.0
2012-01-03 13:15:00,238410.0
2012-01-03 13:30:00,223964.0
2012-01-03 13:45:00,233089.0
2012-01-03 14:00:00,237095.0
2012-01-03 14:15:00,232731.0
2012-01-03 14:30:00,243460.0
2012-01-03 14:45:00,234727.0
2012-01-03 15:00:00,225368.0
2012-01-03 15:15:00,233416.0
2012-01-03 15:30:00,238087.0
2012-01-03 15:45:00,233567.0
2012-01-03 16:00:00,236763.0
2012-01-03 16:15:00,233503.0
2012-01-03 16:30:00,235431.0
2012-01-03 16:45:00,241980.0
2012-01-03 17:00:00,238860.0
2012-01-03 17:15:00,247539.0
2012-01-03 17:30:00,248756.0
2012-01-03 17:45:00,260048.0
2012-01-03 18:00:00,263826.0
2012-01-03 18:15:00,258950.0
2012-01-03 18:30:00,259948.0
2012-01-03 18:45:00,266943.0
2012-01-03 19:00:00,268695.0
2012-01-03 19:15:00,258418.0
2012-01-03 19:30:00,259534.0
2012-01-03 19:45:00,258372.0
2012-01-03 20:00:00,247964.0
2012-01-03 20:15:00,244720.0
2012-01-03 20:30:00,241669.0
2012-01-03 20:45:00,242584.0
2012-01-03 21:00:00,237304.0
2012-01-03 21:15:00,237036.0
2012-01-03 21:30:00,236320.0
2012-01-03 21:45:00,228281.0
2012-01-03 22:00:00,230500.0
2012-01-03 22:15:00,220016.0
2012-01-03 22:30:00,208731.0
2012-01-03 22:45:00,207408.0
2012-01-03 23:00:00,199937.0
2012-01-03 23:15:00,183595.0
2012-01-03 23:30:00,178539.0
2012-01-03 23:45:00,160272.0
2012-01-04 00:00:00,152244.0
2012-01-04 00:15:00,144961.0
2012-01-04 00:30:00,135912.0
2012-01-04 00:45:00,126523.0
2012-01-04 01:00:00,119641.0
2012-01-04 01:15:00,116164.0
2012-01-04 01:30:00,112728.0
2012-01-04 01:45:00,112752.0
2012-01-04 02:00:00,112989.0
2012-01-04 02:15:00,109207.0
2012-01-04 02:30:00,107787.0
2012-01-04 02:45:00,108391.0
2012-01-04 03:00:00,108045.0
2012-01-04 03:15:00,103900.0
2012-01-04 03:30:00,103016.0
2012-01-04 03:45:00,103410.0
2012-01-04 04:00:00,99918.0
2012-01-04 04:15:00,98277.0
2012-01-04 04:30:00,100365.0
2012-01-04 04:45:00,97912.0
2012-01-04 05:00:00,98384.0
2012-01-04 05:15:00,102639.0
2012-01-04 05:30:00,105668.0
2012-01-04 05:45:00,114561.0
2012-01-04 06:00:00,112941.0
2012-01-04 06:15:00,121675.0
2012-01-04 06:30:00,123805.0
2012-01-04 06:45:00,131276.0
2012-01-04 07:00:00,132813.0
2012-01-04 07:15:00,148141.0
2012-01-04 07:30:00,157007.0
2012-01-04 07:45:00,154665.0
2012-01-04 08:00:00,151582.0
2012-01-04 08:15:00,151986.0
2012-01-04 08:30:00,157893.0
2012-01-04 08:45:00,167663.0
2012-01-04 09:00:00,176160.0
2012-01-04 09:15:00,192716.0
2012-01-04 09:30:00,199343.0
2012-01-04 09:45:00,207750.0
2012-01-04 10:00:00,205181.0
2012-01-04 10:15:00,208759.0
2012-01-04 10:30:00,227475.0
2012-01-04 10:45:00,216807.0
2012-01-04 11:00:00,217618.0
2012-01-04 11:15:00,224197.0
2012-01-04 11:30:00,219132.0
2012-01-04 11:45:00,221883.0
2012-01-04 12:00:00,225770.0
2012-01-04 12:15:00,219796.0
2012-01-04 12:30:00,235450.0
2012-01-04 12:45:00,234654.0
2012-01-04 13:00:00,232203.0
2012-01-04 13:15:00,233256.0
2012-01-04 13:30:00,228918.0
2012-01-04 13:45:00,237086.0
2012-01-04 14:00:00,236331.0
2012-01-04 14:15:00,229164.0
2012-01-04 14:30:00,237465.0
2012-01-04 14:45:00,234956.0
2012-01-04 15:00:00,240032.0
2012-01-04 15:15:00,234220.0
2012-01-04 15:30:00,237208.0
2012-01-04 15:45:00,237358.0
2012-01-04 16:00:00,239306.0
2012-01-04 16:15:00,237967.0
2012-01-04 16:30:00,239848.0
2012-01-04 16:45:00,243764.0
2012-01-04 17:00:00,242183.0
2012-01-04 17:15:00,244437.0
2012-01-04 17:30:00,244760.0
2012-01-04 17:45:00,251833.0
2012-01-04 18:00:00,268223.0
2012-01-04 18:15:00,262666.0
2012-01-04 18:30:00,268532.0
2012-01-04 18:45:00,265053.0
2012-01-04 19:00:00,262017.0
2012-01-04 19:15:00,259512.0
2012-01-04 19:30:00,267572.0
2012-01-04 19:45:00,266777.0
2012-01-04 20:00:00,252968.0
2012-01-04 20:15:00,246917.0
2012-01-04 20:30:00,241937.0
2012-01-04 20:45:00,248730.0
2012-01-04 21:00:00,241077.0
2012-01-04 21:15:00,240146.0
2012-01-04 21:30:00,238048.0
2012-01-04 21:45:00,233671.0
2012-01-04 22:00:00,237252.0
2012-01-04 22:15:00,218932.0
2012-01-04 22:30:00,214056.0
2012-01-04 22:45:00,212562.0
2012-01-04 23:00:00,198139.0
2012-01-04 23:15:00,191707.0
2012-01-04 23:30:00,181908.0
2012-01-04 23:45:00,161143.0
2012-01-05 00:00:00,154998.0
2012-01-05 00:15:00,146616.0
2012-01-05 00:30:00,141487.0
2012-01-05 00:45:00,130117.0
2012-01-05 01:00:00,126254.0
2012-01-05 01:15:00,120639.0
2012-01-05 01:30:00,116683.0
2012-01-05 01:45:00,114624.0
2012-01-05 02:00:00,114608.0
2012-01-05 02:15:00,112983.0
2012-01-05 02:30:00,110920.0
2012-01-05 02:45:00,111991.0
2012-01-05 03:00:00,111443.0
2012-01-05 03:15:00,106961.0
2012-01-05 03:30:00,107467.0
2012-01-05 03:45:00,106785.0
2012-01-05 04:00:00,104575.0
2012-01-05 04:15:00,102073.0
2012-01-05 04:30:00,100092.0
2012-01-05 04:45:00,106925.0
2012-01-05 05:00:00,103678.0
2012-01-05 05:15:00,107014.0
2012-01-05 05:30:00,106939.0
2012-01-05 05:45:00,111821.0
2012-01-05 06:00:00,115394.0
2012-01-05 06:15:00,123886.0
2012-01-05 06:30:00,126561.0
2012-01-05 06:45:00,127855.0
2012-01-05 07:00:00,136862.0
2012-01-05 07:15:00,150589.0
2012-01-05 07:30:00,157171.0
2012-01-05 07:45:00,150117.0
2012-01-05 08:00:00,152071.0
2012-01-05 08:15:00,153281.0
2012-01-05 08:30:00,158100.0
2012-01-05 08:45:00,167871.0
2012-01-05 09:00:00,175303.0
2012-01-05 09:15:00,193567.0
2012-01-05 09:30:00,197926.0
2012-01-05 09:45:00,203351.0
2012-01-05 10:00:00,209268.0
2012-01-05 10:15:00,212763.0
2012-01-05 10:30:00,223963.0
2012-01-05 10:45:00,217074.0
2012-01-05 11:00:00,219387.0
2012-01-05 11:15:00,227120.0
2012-01-05 11:30:00,215862.0
2012-01-05 11:45:00,219688.0
2012-01-05 12:00:00,228602.0
2012-01-05 12:15:00,227914.0
2012-01-05 12:30:00,231349.0
2012-01-05 12:45:00,231625.0
2012-01-05 13:00:00,246361.0
2012-01-05 13:15:00,232683.0
2012-01-05 13:30:00,227537.0
2012-01-05 13:45:00,236768.0
2012-01-05 14:00:00,237364.0
2012-01-05 14:15:00,244837.0
2012-01-05 14:30:00,228354.0
2012-01-05 14:45:00,231201.0
2012-01-05 15:00:00,242738.0
2012-01-05 15:15:00,240184.0
2012-01-05 15:30:00,235277.0
2012-01-05 15:45:00,236686.0
2012-01-05 16:00:00,240149.0
2012-01-05 16:15:00,239948.0
2012-01-05 16:30:00,240366.0
2012-01-05 16:45:00,240904.0
2012-01-05 17:00:00,243245.0
2012-01-05 17:15:00,242763.0
2012-01-05 17:30:00,248424.0
2012-01-05 17:45:00,261881.0
2012-01-05 18:00:00,264104.0
2012-01-05 18:15:00,258914.0
2012-01-05 18:30:00,261736.0
2012-01-05 18:45:00,268185.0
2012-01-05 19:00:00,263311.0
2012-01-05 19:15:00,258303.0
2012-01-05 19:30:00,263434.0
2012-01-05 19:45:00,267137.0
2012-01-05 20:00:00,252767.0
2012-01-05 20:15:00,245037.0
2012-01-05 20:30:00,238870.0
2012-01-05 20:45:00,246873.0
2012-01-05 21:00:00,236700.0
2012-01-05 21:15:00,232274.0
2012-01-05 21:30:00,238184.0
2012-01-05 21:45:00,229145.0
2012-01-05 22:00:00,226128.0
2012-01-05 22:15:00,223910.0
2012-01-05 22:30:00,206707.0
2012-01-05 22:45:00,201032.0
2012-01-05 23:00:00,203326.0
2012-01-05 23:15:00,187432.0
2012-01-05 23:30:00,170764.0
2012-01-05 23:45:00,158342.0
2012-01-06 00:00:00,152108.0
2012-01-06 00:15:00,144829.0
2012-01-06 00:30:00,140046.0
2012-01-06 00:45:00,129287.0
2012-01-06 01:00:00,123075.0
2012-01-06 01:15:00,117561.0
2012-01-06 01:30:00,113435.0
2012-01-06 01:45:00,112759.0
2012-01-06 02:00:00,113001.0
2012-01-06 02:15:00,111303.0
2012-01-06 02:30:00,109061.0
2012-01-06 02:45:00,110297.0
2012-01-06 03:00:00,110691.0
2012-01-06 03:15:00,105359.0
2012-01-06 03:30:00,103705.0
2012-01-06 03:45:00,104534.0
2012-01-06 04:00:00,102720.0
2012-01-06 04:15:00,104606.0
2012-01-06 04:30:00,103320.0
2012-01-06 04:45:00,103294.0
2012-01-06 05:00:00,101376.0
2012-01-06 05:15:00,105013.0
2012-01-06 05:30:00,108215.0
2012-01-06 05:45:00,111833.0
2012-01-06 06:00:00,115041.0
2012-01-06 06:15:00,125607.0
2012-01-06 06:30:00,125402.0
2012-01-06 06:45:00,129662.0
2012-01-06 07:00:00,135701.0
2012-01-06 07:15:00,152668.0
2012-01-06 07:30:00,156668.0
2012-01-06 07:45:00,156482.0
2012-01-06 08:00:00,150458.0
2012-01-06 08:15:00,154726.0
2012-01-06 08:30:00,160552.0
2012-01-06 08:45:00,172200.0
2012-01-06 09:00:00,178909.0
2012-01-06 09:15:00,195907.0
2012-01-06 09:30:00,197307.0
2012-01-06 09:45:00,203893.0
2012-01-06 10:00:00,209361.0
2012-01-06 10:15:00,215209.0
2012-01-06 10:30:00,227577.0
2012-01-06 10:45:00,222074.0
2012-01-06 11:00:00,221579.0
2012-01-06 11:15:00,228084.0
2012-01-06 11:30:00,221902.0
2012-01-06 11:45:00,222790.0
2012-01-06 12:00:00,228479.0
2012-01-06 12:15:00,222507.0
2012-01-06 12:30:00,229839.0
2012-01-06 12:45:00,230695.0
2012-01-06 13:00:00,230761.0
2012-01-06 13:15:00,236929.0
2012-01-06 13:30:00,236515.0
2012-01-06 13:45:00,235888.0
2012-01-06 14:00:00,231172.0
2012-01-06 14:15:00,234181.0
2012-01-06 14:30:00,234165.0
2012-01-06 14:45:00,238905.0
2012-01-06 15:00:00,239512.0
2012-01-06 15:15:00,227532.0
2012-01-06 15:30:00,234327.0
2012-01-06 15:45:00,239414.0
2012-01-06 16:00:00,240490.0
2012-01-06 16:15:00,241666.0
2012-01-06 16:30:00,235153.0
2012-01-06 16:45:00,243216.0
2012-01-06 17:00:00,243443.0
2012-01-06 17:15:00,245151.0
2012-01-06 17:30:00,249524.0
2012-01-06 17:45:00,249450.0
2012-01-06 18:00:00,263813.0
2012-01-06 18:15:00,266496.0
2012-01-06 18:30:00,260729.0
2012-01-06 18:45:00,263193.0
2012-01-06 19:00:00,265978.0
2012-01-06 19:15:00,260296.0
2012-01-06 19:30:00,266055.0
2012-01-06 19:45:00,254692.0
2012-01-06 20:00:00,253580.0
2012-01-06 20:15:00,256104.0
2012-01-06 20:30:00,248872.0
2012-01-06 20:45:00,254851.0
2012-01-06 21:00:00,241821.0
2012-01-06 21:15:00,235895.0
2012-01-06 21:30:00,236606.0
2012-01-06 21:45:00,237588.0
2012-01-06 22:00:00,230647.0
2012-01-06 22:15:00,221587.0
2012-01-06 22:30:00,221754.0
2012-01-06 22:45:00,211152.0
2012-01-06 23:00:00,206009.0
